dataset,component_threshold,sample_gate_threshold,target_clean_acc,target_clean_f1,component_clean_f1,baseline_asr,component_asr,asr_reduction,clean_modified_rate,adv_modified_rate,clean_removed_ratio,adv_removed_ratio,adv_avg_removed_tokens,adv_mean_prob_gain
asterisk,12.719273519515959,0.0,0.9673024523160763,0.7692307692307693,0.26490066225165565,0.64,0.6,0.040000000000000036,0.3814713896457766,0.14,0.2912659232686085,0.06615429837538903,220.18,0.016975295069063374
openssl,8.530975646972655,0.0,0.9342723004694836,0.8292682926829269,0.8292682926829269,0.76,0.76,0.0,0.40375586854460094,0.74,0.3456887850706607,0.311457000646413,965.44,0.07404933224635606
cwe119,12.410799760818486,0.0,0.9555283557731539,0.9437274135260713,0.94129763130793,0.72,0.72,0.0,0.15707874337005304,0.27,0.023891649888845266,0.03602305310303815,66.79,0.013845617137365344
cwe399,12.121463775634766,0.0,0.8352941176470589,0.7878787878787878,0.7799999999999999,0.695,0.695,0.0,0.24705882352941178,0.355,0.0510515039478582,0.06099379567061487,84.865,0.005782286486243722
