dataset,target_clean_acc,target_clean_f1,threshold,baseline_asr,quarantine_asr,asr_reduction,adv_block_rate,adv_success_block_rate,clean_block_rate,clean_non_vul_block_rate,clean_vul_block_rate,mean_adv_score,mean_clean_score
asterisk,0.9673024523160763,0.7692307692307693,0.9823561442144343,0.64,0.36,0.28,0.28,0.28,0.09264305177111716,0.09798270893371758,0.0,0.9089753781433291,0.8777264097672056
openssl,0.9342723004694836,0.8292682926829269,0.8622254734819698,0.76,0.12,0.64,0.64,0.64,0.08450704225352113,0.09659090909090909,0.02702702702702703,0.9087260792707026,0.7035562632968974
cwe119,0.9555283557731539,0.9437274135260713,0.8781556435259322,0.72,0.65,0.06999999999999995,0.07,0.07,0.0587515299877601,0.09420289855072464,0.0010718113612004287,0.5367674372629189,0.5273746776553759
cwe399,0.8352941176470589,0.7878787878787878,0.999869186752734,0.695,0.625,0.06999999999999995,0.07,0.07,0.08235294117647059,0.12738853503184713,0.01020408163265306,0.5070139269295563,0.45676080094938665
