dataset,victim,train_n,clean_test_n,adv_n,clean_acc,clean_f1,adv_bypassed,adv_asr,gate_threshold,gate_recall_all_adv,gate_recall_on_neural_bypassed,clean_non_vul_fpr
openssl,CodeBERT-base,160,213,50,0.647887323943662,0.43609022556390975,41,0.82,0.8593903574232284,0.74,0.7804878048780488,0.10227272727272728
asterisk,CodeBERT-base,150,367,50,0.6893732970027248,0.2597402597402597,24,0.48,0.981694232645596,0.28,0.5416666666666666,0.1037463976945245
openssl,BiLSTM-attention,160,213,50,0.5352112676056338,0.41420118343195267,5,0.1,0.8593903574232284,0.74,1.0,0.10227272727272728
asterisk,BiLSTM-attention,150,367,50,0.7138964577656676,0.2758620689655173,24,0.48,0.981694232645596,0.28,0.5416666666666666,0.1037463976945245
