adv_samples,attack_capture_precision,attack_capture_precision_ci_lower,attack_capture_precision_ci_upper,attack_capture_rate,attack_capture_rate_ci_lower,attack_capture_rate_ci_upper,baseline_clean_f1,captured_adversarial_count,clean_review_count,clean_review_count_denominator,clean_review_rate,clean_review_rate_ci_lower,clean_review_rate_ci_upper,clean_samples,conditional_review_count,conditional_review_count_denominator,conditional_review_rate,conditional_review_rate_ci_lower,conditional_review_rate_ci_upper,coverage,coverage_ci_lower,coverage_ci_upper,coverage_count,coverage_count_denominator,method,method_family,nominal_budget,number_needed_to_review,raw_adversarial_benign_count,raw_adversarial_benign_rate,raw_adversarial_benign_rate_ci_lower,raw_adversarial_benign_rate_ci_upper,raw_adversarial_count,raw_bypass_capture_rate,raw_bypass_capture_rate_ci_lower,raw_bypass_capture_rate_ci_upper,residual_silent_bypass_count,residual_silent_bypass_rate,residual_silent_bypass_rate_ci_lower,residual_silent_bypass_rate_ci_upper,role_manifest_sha256,selective_risk,selective_risk_ci_lower,selective_risk_ci_upper,selective_risk_count_denominator,selective_risk_error_count,target,threshold,total_review_count
50,0.25,0.0455872608097006,0.699358157417598,0.02,0.0035392592716462293,0.1049544358963781,0.6909090909090909,1,3,367,0.0081743869209809,0.002783846204619942,0.023754337665087503,367,3,332,0.009036144578313253,0.0030777702210502723,0.026226112793430324,0.896457765667575,0.8610719008266696,0.9236300063586909,329,367,Quarantine / Supervised Gate / nominal_budget=0.01,Supervised Gate,0.01,4.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.03125,0.005537860164003122,0.15744263820012555,31,0.62,0.4815044693099298,0.7413721068980641,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.00303951367781155,0.0005367504498987128,0.017013523609682883,329,1,asterisk,0.7876047765768168,4
50,0.058823529411764705,0.010460400984997592,0.26982030637575394,0.02,0.0035392592716462293,0.1049544358963781,0.6909090909090909,1,16,367,0.0435967302452316,0.027010860063541493,0.06963814712856929,367,16,332,0.04819277108433735,0.029879089413457294,0.0768422753237948,0.8610354223433242,0.8218914718654476,0.8926996119975094,316,367,Quarantine / Supervised Gate / nominal_budget=0.03,Supervised Gate,0.03,17.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.03125,0.005537860164003122,0.15744263820012555,31,0.62,0.4815044693099298,0.7413721068980641,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0031645569620253164,0.0005588405996577676,0.017704766758289206,316,1,asterisk,0.7491955703707827,17
50,0.05,0.008881448800795375,0.236131193446742,0.02,0.0035392592716462293,0.1049544358963781,0.6909090909090909,1,19,367,0.0517711171662125,0.033390768835426174,0.07943765912339308,367,19,332,0.0572289156626506,0.036940172573648566,0.08764676486885847,0.8528610354223434,0.8129667329476462,0.8854449301486025,313,367,Quarantine / Supervised Gate / nominal_budget=0.05,Supervised Gate,0.05,20.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.03125,0.005537860164003122,0.15744263820012555,31,0.62,0.4815044693099298,0.7413721068980641,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003194888178913738,0.0005641990162301592,0.017872336538291143,313,1,asterisk,0.7272392828245875,20
50,0.11904761904761904,0.05193803327758237,0.25000390262009675,0.1,0.04347576493189044,0.21360231437479654,0.6909090909090909,5,37,367,0.1008174386920981,0.07403072962217844,0.1358742229368916,367,37,332,0.11144578313253012,0.08194260222846994,0.14983777144556681,0.8038147138964578,0.7601281261804655,0.8412070123155324,295,367,Quarantine / Supervised Gate / nominal_budget=0.10,Supervised Gate,0.1,8.4,32,0.64,0.501410168761127,0.7586125034815325,50,0.15625,0.06864420282505711,0.3175414959753039,27,0.54,0.4039887139915749,0.6703034780777565,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003389830508474576,0.0005986391554377718,0.018948376990668713,295,1,asterisk,0.6719551141645915,42
50,0.125,0.061890686957171204,0.23625476558190134,0.14,0.06950833427016292,0.26186193710585537,0.6909090909090909,7,49,367,0.1335149863760218,0.1024859774737063,0.17213665815219759,367,49,332,0.14759036144578314,0.11347328721707739,0.1897693772779792,0.771117166212534,0.7254582642923553,0.8111591911368086,283,367,Quarantine / Supervised Gate / nominal_budget=0.15,Supervised Gate,0.15,8.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.21875,0.11023836252604188,0.3875499364924353,25,0.5,0.3664451431682858,0.6335548568317142,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0035335689045936395,0.0006240342447977141,0.019740730474746004,283,1,asterisk,0.6590867947570455,56
50,0.0,0.0,0.7934506856227626,0.0,0.0,0.07134759913335868,0.6909090909090909,0,1,367,0.0027247956403269,0.0004811553787498965,0.015270747979818575,367,1,332,0.0030120481927710845,0.0005318984881840603,0.01686160272279323,0.9019073569482288,0.8671863212429586,0.9283018664535408,331,367,Quarantine / Isolation Forest / nominal_budget=0.01,Isolation Forest,0.01,,32,0.64,0.501410168761127,0.7586125034815325,50,0.0,0.0,0.10717919825507058,32,0.64,0.501410168761127,0.7586125034815325,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0030211480362537764,0.0005335060327725325,0.01691194066091839,331,1,asterisk,0.5724914728464501,1
50,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,0.0,0.07134759913335868,0.6909090909090909,0,17,367,0.0463215258855585,0.029119182633465194,0.07292296481421508,367,17,332,0.05120481927710843,0.03221238882767508,0.08046416681132865,0.8583106267029973,0.8189122548803538,0.8902856887270338,315,367,Quarantine / Isolation Forest / nominal_budget=0.03,Isolation Forest,0.03,,32,0.64,0.501410168761127,0.7586125034815325,50,0.0,0.0,0.10717919825507058,32,0.64,0.501410168761127,0.7586125034815325,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0031746031746031746,0.0005606153934957486,0.017760273120501317,315,1,asterisk,0.5065257075312606,17
50,0.07692307692307693,0.021355088472276226,0.24141553771629054,0.04,0.011038884327619819,0.13460090687507018,0.6909090909090909,2,24,367,0.0653950953678474,0.04433575428185521,0.09545837495481146,367,24,332,0.07228915662650602,0.049056246085856306,0.10530664586540898,0.8392370572207084,0.7981738850304989,0.8732720767879023,308,367,Quarantine / Isolation Forest / nominal_budget=0.05,Isolation Forest,0.05,13.0,32,0.64,0.501410168761127,0.7586125034815325,50,0.0625,0.01731056703164098,0.20147123144154577,30,0.6,0.46181437747589366,0.7239161026974346,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.003246753246753247,0.0005733617698070407,0.01815878129668915,308,1,asterisk,0.4943001850955406,26
50,0.04878048780487805,0.013480945365169042,0.16138978870370846,0.04,0.011038884327619819,0.13460090687507018,0.6909090909090909,2,39,367,0.106267029972752,0.07871569963056475,0.14197553343964425,367,39,332,0.11746987951807229,0.08713280508196794,0.15655795039557213,0.7983651226158038,0.7543221643307855,0.8362266936540735,293,367,Quarantine / Isolation Forest / nominal_budget=0.10,Isolation Forest,0.1,20.5,32,0.64,0.501410168761127,0.7586125034815325,50,0.0625,0.01731056703164098,0.20147123144154577,30,0.6,0.46181437747589366,0.7239161026974346,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0034129692832764505,0.0006027271548775786,0.01907598903221215,293,1,asterisk,0.47377328211316094,41
50,0.05063291139240506,0.01986404278001857,0.12307717275705113,0.08,0.03154951408859297,0.18838246918342832,0.6909090909090909,4,75,367,0.2043596730245231,0.16626779248249443,0.24857648978821614,367,75,332,0.22590361445783133,0.18420511906380993,0.27387250887678966,0.7002724795640327,0.6515233468240106,0.7448724619603467,257,367,Quarantine / Isolation Forest / nominal_budget=0.15,Isolation Forest,0.15,19.75,32,0.64,0.501410168761127,0.7586125034815325,50,0.125,0.04970134387480073,0.2806830548165022,28,0.56,0.42306028021656866,0.6883780078874284,4bf795e269e3a796555bd30b0147af44aac317ac33f841b9b1c4dc3e6112a9a2,0.0038910505836575876,0.0006871965081303878,0.021707475133043108,257,1,asterisk,0.44861280507528023,79
