dataset,target_clean_acc,target_clean_f1,defended_clean_f1,clean_f1_drop,threshold,baseline_asr,defended_asr,asr_reduction,adv_recall,clean_non_vul_fpr,clean_vul_change_rate,mean_adv_score,mean_clean_score
asterisk,0.9673024523160763,0.7692307692307693,0.7407407407407407,0.028490028490028574,0.9978356938954765,0.64,0.64,0.0,0.0,0.005763688760806916,0.0,0.9089753781433291,0.8777264097672056
openssl,0.9342723004694836,0.8292682926829269,0.8000000000000002,0.029268292682926744,0.9728809576085587,0.76,0.52,0.24,0.24,0.017045454545454544,0.0,0.9087260792707026,0.7035562632968974
cwe119,0.9555283557731539,0.9437274135260713,0.9403292181069958,0.0033981954190754893,0.9343696359100713,0.72,0.71,0.010000000000000009,0.01,0.00461133069828722,0.0,0.5367674372629189,0.5273746776553759
cwe399,0.8352941176470589,0.7878787878787878,0.7878787878787878,0.0,inf,0.695,0.695,0.0,0.0,0.0,0.0,0.5070139269295563,0.45676080094938665
