dataset,target_clean_acc,target_clean_f1,defended_clean_f1,adv_samples,baseline_bypassed,baseline_asr,threshold,detector_recall_on_adv,detector_fpr_on_clean_vul,detector_fpr_on_clean_non_vul,detector_precision_adv_vs_clean_vul,defended_bypassed,defended_asr,asr_reduction,mean_adv_detector_score,mean_clean_vul_detector_score
asterisk,0.9673024523160763,0.7692307692307693,0.45454545454545453,50,32,0.64,0.981694232645596,0.28,0.0,0.1037463976945245,1.0,18,0.36,0.28,0.9089753781433291,0.6999224958403599
openssl,0.9342723004694836,0.8292682926829269,0.6930693069306929,50,38,0.76,0.8593903574232284,0.74,0.02702702702702703,0.10227272727272728,0.9736842105263158,6,0.12,0.64,0.9087260792707028,0.6123486888389993
cwe119,0.9555283557731539,0.9437274135260713,0.8840579710144928,200,144,0.72,0.8796213192083118,0.06,0.021436227224008574,0.10013175230566534,0.375,132,0.66,0.05999999999999994,0.5367674372629189,0.34684013539374026
cwe399,0.8352941176470589,0.7878787878787878,0.7214611872146119,200,139,0.695,0.999869186752734,0.07,0.01020408163265306,0.12738853503184713,0.9333333333333333,125,0.625,0.06999999999999995,0.5070139269295563,0.24045871329040056
