dataset,window,stride,window_threshold,sample_gate_threshold,target_clean_acc,target_clean_f1,sanitized_clean_f1,baseline_asr,sanitized_asr,asr_reduction,clean_modified_rate,adv_modified_rate,clean_removed_ratio,adv_removed_ratio,adv_avg_removed_tokens,adv_mean_top_window_score,adv_mean_prob_gain
asterisk,1536,768,11.264266061782832,0.0,0.9673024523160763,0.7692307692307693,0.27397260273972607,0.64,0.6,0.040000000000000036,0.3188010899182561,0.04,0.26624541986646966,0.04,4.08,-inf,0.015152446245038385
openssl,1536,768,9.789579544067367,0.0,0.9342723004694836,0.8292682926829269,0.8192771084337348,0.76,0.7,0.06000000000000005,0.4272300469483568,0.76,0.3778055225641278,0.433886489327317,1511.36,-inf,0.07380142252529537
cwe119,1536,768,13.479267368316652,0.0,0.9555283557731539,0.9437274135260713,0.9427539969056214,0.72,0.72,0.0,0.14443084455324356,0.23,0.12613007889678762,0.20678223934479142,209.375,-inf,0.013034139400403705
cwe399,1536,768,14.689887218475347,0.0,0.8352941176470589,0.7878787878787878,0.7878787878787878,0.695,0.695,0.0,0.24313725490196078,0.375,0.21792046739005044,0.31848499506994415,392.105,-inf,0.021931953759581468
